lap,time_s,voltage_V,current_A,speed_kmh,distance_m
1,0.008,104.996,0.0,0.0,0.0
1,0.208,104.986,0.5582,0.439,0.011
1,0.4,104.981,0.8003,0.897,0.047
1,0.6,104.978,1.0405,1.374,0.11
1,0.808,104.973,1.2703,1.87,0.204
1,1.008,104.969,1.5365,2.346,0.321
1,1.208,104.966,1.7513,2.821,0.464
1,1.408,104.961,1.9544,3.296,0.634
1,1.608,104.957,2.1952,3.771,0.831
1,1.808,104.953,2.3954,4.246,1.053
1,2.008,104.95,2.6631,4.721,1.302
1,2.208,104.946,2.8761,5.196,1.578
1,2.408,104.941,3.1002,5.671,1.88
1,2.608,104.938,3.3294,6.147,2.208
1,2.808,104.934,3.5495,6.622,2.563
1,3.008,104.93,3.7524,7.099,2.944
1,3.208,104.927,3.9776,7.576,3.351
1,3.408,104.922,4.1601,8.054,3.786
1,3.608,104.918,4.4449,8.532,4.246
1,3.808,104.914,4.67,9.012,4.734
1,4.008,104.911,4.8879,9.492,5.248
1,4.208,104.906,5.1253,9.974,5.788
1,4.4,104.902,5.2868,10.437,6.332
1,4.6,104.898,5.511,10.921,6.925
1,4.8,104.895,5.7807,11.407,7.545
1,5.0,104.891,5.9478,11.895,8.192
1,5.2,104.886,6.1899,12.384,8.867
1,5.4,104.882,6.4255,12.876,9.568
1,5.6,104.878,6.6728,13.369,10.297
1,5.8,104.874,6.9199,13.866,11.054
1,6.0,104.869,7.1133,14.364,11.838
1,6.2,104.865,7.3603,14.865,12.65
1,6.4,104.861,7.6148,15.369,13.49
1,6.6,104.857,7.8057,15.876,14.358
1,6.8,104.852,8.0774,16.386,15.254
1,7.0,104.848,8.2884,16.899,16.178
1,7.2,104.844,8.5424,17.416,17.132
1,7.4,104.84,8.7967,17.936,18.114
1,7.6,104.836,9.0,18.461,19.125
1,7.8,104.865,7.3,18.855,20.162
1,8.0,104.897,5.4202,19.062,21.216
1,8.2,104.916,4.3676,19.174,22.279
1,8.4,104.926,3.7606,19.235,23.346
1,8.6,104.932,3.4129,19.271,24.415
1,8.8,104.936,3.2136,19.293,25.487
1,9.0,104.938,3.0586,19.309,26.559
1,9.2,104.94,2.9432,19.322,27.632
1,9.4,104.941,2.8646,19.333,28.706
1,9.6,104.942,2.8081,19.342,29.78
